"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"BAIAP2",904.932069407951,-0.250996866382268,0.106776374036949,-2.35067793457206,0.0187392456884934,0.036300823282763,FALSE
"MAP3K8",17.8974816306019,0.45955715417608,0.195504951516811,2.35061644531578,0.018742342273852,0.0363016836059918,TRUE
"HOPX",12.5571194050182,0.547557160066625,0.232990772996801,2.35012379685158,0.0187671681053911,0.036340200817261,TRUE
"RNF168",204.675541347318,-0.29412663017677,0.125154066900385,-2.35011644017031,0.0187675390454772,0.036340200817261,FALSE
"RRS1",42.6503430972258,0.400078988453401,0.170254705044272,2.34988506396559,0.018779208816998,0.0363525108726215,TRUE
"NARS1",934.98412544983,-0.172117090321876,0.073244257624766,-2.34990558855331,0.0187781733751996,0.0363525108726215,FALSE
"HSPB1",1889.01654654761,-0.479070099224818,0.203885234129844,-2.34970473104356,0.0187883085523661,0.0363649824420425,TRUE
"CCN4",10.2941444394564,0.570772664101646,0.242926257526068,2.3495717174188,0.0187950229916406,0.036372834369852,TRUE
"RNF11",820.479553030877,0.172410933661207,0.0733819217599819,2.34950147837679,0.0187985694584621,0.0363745541649246,FALSE
"GLUD2",102.651518744967,0.269930397371735,0.114894406680376,2.34937805216796,0.018804802837223,0.0363814718165443,FALSE
"SCN4B",10.9829242870153,0.64813545002863,0.275903417302945,2.34913889927275,0.0188168858920259,0.036390304492155,TRUE
"MAP7D3",88.7370494091786,0.439925319414794,0.187268646263191,2.34916697585625,0.0188154669879627,0.036390304492155,TRUE
"GATC",437.921447678932,0.175129527303692,0.0745508086919082,2.34912981329874,0.0188173450892138,0.036390304492155,FALSE
"RSPH3",103.958506374878,0.289937302824784,0.12345131183906,2.34859636973941,0.0188443220463312,0.0364373257312926,FALSE
"ORAI1",188.528658181835,-0.304579559429253,0.129693189256926,-2.34846225290885,0.0188511098333967,0.0364453014804164,TRUE
"FBLIM1",47.5983257140103,0.348290678845639,0.148363298797725,2.3475528090036,0.0188971941385467,0.0365292371440891,TRUE
